breakdown_type,segment,spend_CAD,impressions,reach,frequency,clicks,ctr_pct,cpc_CAD,cpm_CAD,link_clicks,cost_per_link_click,link_ctr_pct,leads,CPL_CAD,share_spend_pct,share_leads_pct
age,25-34,4105.89,282443,126544,2.23,2208,0.78,1.86,14.54,1392,2.95,0.49,147,27.93,23.0,24.7
age,35-44,3806.18,149276,65037,2.3,1733,1.16,2.2,25.5,1079,3.53,0.72,131,29.05,21.3,22.0
age,45-54,2682.35,79875,33809,2.36,1181,1.48,2.27,33.58,709,3.78,0.89,117,22.93,15.0,19.6
age,55-64,2553.53,58809,22392,2.63,1039,1.77,2.46,43.42,647,3.95,1.1,73,34.98,14.3,12.2
age,65+,4713.02,74559,27839,2.68,2032,2.73,2.32,63.21,1243,3.79,1.67,128,36.82,26.4,21.5
age,Unknown,1.92,76,75,1.01,0,0.0,,25.26,0,,,,,0.0,0.0
gender,Female,6602.91,225879,106205,2.13,3526,1.56,1.87,29.23,2289,2.88,1.01,204,32.37,37.0,34.2
gender,Male,11067.93,415164,166214,2.5,4591,1.11,2.41,26.66,2738,4.04,0.66,390,28.38,62.0,65.4
gender,Unknown,192.05,3995,1855,2.15,76,1.9,2.53,48.07,43,4.47,1.08,2,96.03,1.1,0.3
